"","d","n","CL","CU","CL2","CU2","ACL","ACU","ACL2","ACU2"
"1",1,40,0.607066558238747,0.738503662442554,2.09222732631963,2.9981647871852,2.0626989295364,2.44052859114149,2.05913175388266,2.61670839227751
"2",1,70,0.537631856831436,0.662881707179415,2.00825876808048,2.36080865775991,2.02177498539998,2.18547374306914,2.01538280710009,2.38251860862069
"3",1,100,0.596099606571229,0.655967115816245,2.00032023288549,2.3360433605889,2.0042621322699,2.07523313605555,2.00000874881777,2.18354394208393
"4",10,40,0.95049029606474,0.991765298569466,2.00931313898822,2.09212066935019,2.06004414814434,2.11750181244997,2.00817381642013,2.0716269507752
"5",10,70,0.923789612160804,0.96247995972441,2.00205049593231,2.03681254873494,2.0269272948888,2.05696859113625,2.00111031884097,2.02573980810058
"6",10,100,0.925256935684764,0.960263185958797,2.00000067380473,2.01232152498716,2.01221176058975,2.03519161954851,2.00000038219666,2.01009635642151
"7",50,40,0.999018015201071,1.0141511317078,2.00140014071646,2.01398431003968,2.05623259995636,2.07493802607579,2.00119343321144,2.01205284640255
"8",50,70,0.98502610211734,0.99934159166876,2.00029710335003,2.00618038759786,2.02796781562972,2.04058363688145,2.00022006214204,2.00454116242219
"9",50,100,0.97346531563041,0.988513858983368,2.00000018515176,2.00357640764377,2.01638689626677,2.02574830188827,2.00000010155863,2.00322692077046
"10",100,40,1.00538992404829,1.01775857790631,2.00099136235057,2.00945402455559,2.05497061211135,2.06708663272953,2.00066575782652,2.00646125727608
"11",100,70,0.993871391439472,1.00382612560635,2.00012458230697,2.00251291187796,2.0287562057027,2.03682772931272,2.00010038860667,2.00214167547952
"12",100,100,0.987700559616774,0.997963013006132,2.00000003825211,2.00115111470261,2.01722097221194,2.02417564584677,2.00000003058123,2.00127242724829
"13",300,40,1.01606706598724,1.02210526676932,2.00028049084172,2.00263311466969,2.05386973447882,2.06083007068459,2.00018082237702,2.00193517771585
"14",300,70,1.00270809849943,1.0087641643836,2.00007714966264,2.00149619739537,2.02922838398225,2.03347011177516,2.00005089782747,2.00110578201859
"15",300,100,0.995947932536877,1.00283760511038,2.00000005936142,2.00077645325983,2.01862850616778,2.02243016613673,2.00000001072549,2.00050260188121
"16",500,40,1.01867096059418,1.02306384511605,2.00011946149791,2.00118141852871,2.05366908650073,2.05863810776036,2.00011023031748,2.00109108454119
"17",500,70,1.00514760246823,1.00979740657082,2.00005091696725,2.00107598108716,2.02920869488748,2.0326113373288,2.00003288700552,2.0007511697738
"18",500,100,0.998647449525995,1.00398006836165,2.0000000142467,2.00049915865406,2.0189234022456,2.02190598358755,2.00000000889259,2.00038156827998
