,d,n,CL,CU,CL2,CU2,ACL,ACU,ACL2,ACU2
3,1,30,0.633013444,0.711159413,2.062508772,2.640225551,2.02293877,2.192371526,2.000582271,2.362673218
4,1,40,0.533597434,0.590721764,2.000054262,2.081538687,2.012875794,2.141932732,2.000153434,2.158364591
5,1,50,0.573705673,0.674152632,2.016816097,2.487812671,2.012461255,2.109730657,2.000230164,2.192042481
6,1,60,0.585844846,0.658210125,2.000229808,2.395699548,2.009553222,2.089156097,2.00015657,2.140573407
7,1,70,0.50316003,0.56267912,2.000075707,2.059138839,2.007903916,2.07429156,2.000155961,2.146895629
8,1,80,0.541705462,0.604459638,2.000103103,2.138403294,2.007017789,2.065361341,2.000102569,2.109109779
9,1,90,0.539075328,0.608082339,2.002329193,2.164107107,2.005993534,2.058988905,2.000092369,2.079551863
10,1,100,0.507654683,0.545204219,2.000029581,2.028908483,2.004984865,2.053337032,2.00005648,2.055267352
13,10,30,0.913920093,0.969588703,2.000040301,2.037630213,2.048637034,2.102947681,2.000022299,2.022439301
14,10,40,0.896501276,0.956590279,2.000023598,2.026240321,2.035769781,2.075761051,2.000022609,2.023619565
15,10,50,0.897399349,0.943364861,2.000024415,2.024098694,2.028678036,2.0590347,2.000019816,2.019042108
16,10,60,0.925567941,0.957031623,2.000023635,2.023117359,2.023906751,2.049815873,2.000017495,2.016501416
17,10,70,0.913186774,0.947410424,2.000016713,2.016915038,2.020094395,2.042399538,2.000014658,2.013698087
18,10,80,0.914236423,0.947118347,2.000015377,2.013335241,2.017665552,2.036091793,2.000012888,2.01029286
19,10,90,0.915352707,0.945639495,2.000011198,2.012609237,2.015592809,2.032416802,2.000008792,2.009266208
20,10,100,0.907322348,0.938149032,2.00001101,2.011109831,2.014092133,2.028881634,2.000010489,2.00897611
23,50,30,0.989165102,1.0140639,2.000005094,2.004963594,2.06041006,2.083802372,2.000004941,2.003966838
24,50,40,0.980906353,1.001315667,2.000007021,2.005469773,2.044634907,2.062095234,2.000004768,2.00448593
25,50,50,0.977665326,0.996659013,2.000004468,2.003832736,2.035245398,2.048934815,2.000002877,2.002830965
26,50,60,0.978401326,0.993916766,2.000005081,2.00376505,2.029170024,2.040735218,2.000003406,2.003153906
27,50,70,0.973284258,0.988853655,2.000005264,2.004394322,2.024890636,2.034670203,2.000002759,2.002459284
28,50,80,0.975818618,0.988772421,2.000004393,2.003281716,2.021684644,2.030181973,2.000002424,2.002083314
29,50,90,0.973558626,0.986992179,2.000003702,2.003058839,2.01922225,2.026873436,2.000001722,2.001620854
30,50,100,0.978006895,0.98855956,2.000001994,2.001912794,2.017306231,2.0238894,2.000001443,2.0014162
33,100,30,1.007500213,1.023173079,2.000002405,2.002658715,2.06401036,2.079554512,2.000003208,2.002832633
34,100,40,0.990125296,1.007147967,2.000004817,2.004360399,2.046573014,2.059227623,2.000002475,2.002454218
35,100,50,0.993811644,1.005685676,2.000002184,2.002214072,2.037129184,2.046687567,2.00000192,2.001845607
36,100,60,0.992365133,1.002759426,2.000001899,2.001660007,2.030687441,2.038700367,2.00000124,2.00112958
37,100,70,0.986456997,0.99741183,2.000003229,2.002470312,2.026169753,2.032988374,2.000001058,2.001122233
38,100,80,0.990392873,0.998699998,2.000001491,2.001411516,2.022721697,2.02879266,2.000001263,2.001182565
39,100,90,0.989693279,0.997500108,2.000000971,2.000952022,2.020199636,2.0254795,2.000001025,2.000933976
40,100,100,0.988290098,0.995973675,2.000000975,2.001002005,2.018113176,2.02289038,2.000000873,2.000802221
43,300,30,1.018810139,1.027995726,2.00000049,2.00046475,2.066574085,2.076478423,2.000000757,2.00073328
44,300,40,1.009599576,1.017195647,2.000001213,2.000842786,2.049253263,2.056283321,2.000000611,2.000634353
45,300,50,1.005746519,1.012902987,2.000000557,2.00051641,2.038900127,2.044521845,2.000000384,2.000427825
46,300,60,1.002880524,1.009223276,2.000000488,2.000442722,2.032146049,2.036976288,2.000000475,2.000422416
47,300,70,1.000520182,1.006316027,2.000000543,2.000547837,2.027493252,2.031459657,2.000000509,2.000515478
48,300,80,1.000709016,1.005373998,2.000000336,2.000314429,2.023917128,2.027368781,2.000000296,2.000352442
49,300,90,0.997157969,1.002264186,2.000000707,2.000465463,2.021224641,2.024274595,2.000000335,2.000288423
50,300,100,0.996191302,1.00107722,2.000000522,2.00041941,2.019064683,2.021842707,2.000000243,2.000262735
53,500,30,1.019355859,1.028117057,2.000001232,2.000844946,2.067756115,2.075260755,2.000000618,2.00048306
54,500,40,1.012087932,1.019134024,2.000000624,2.000509412,2.049952574,2.05540599,2.000000344,2.000322883
55,500,50,1.009559459,1.014495328,2.000000337,2.000302857,2.03947646,2.043977262,2.000000257,2.000236483
56,500,60,1.006503021,1.010869738,2.000000404,2.00031055,2.032713956,2.036413457,2.000000275,2.000264809
57,500,70,1.005244578,1.008990231,2.000000274,2.000245696,2.027952548,2.030904807,2.000000184,2.000195898
58,500,80,1.00205137,1.006045614,2.000000391,2.000340676,2.024346462,2.027006347,2.000000242,2.000238009
59,500,90,1.001156431,1.005005914,2.000000181,2.000193393,2.021589222,2.023903463,2.00000018,2.000183456
60,500,100,0.999413446,1.003163965,2.000000273,2.000261956,2.019373141,2.021493612,2.00000016,2.000169155
