,d,n,CL,CU,CL2,CU2,ACL,ACU,ACL2,ACU2
1,1,10, ,,,,,,,
2,1,20,,,,,,,,
3,1,30,,,,,,,,
4,1,40,,,,,,,,
5,1,50,,,,,,,,
6,1,60,,,,,,,,
7,1,70,,,,,,,,
8,1,80,,,,,,,,
9,1,90,,,,,,,,
10,1,100,,,,,,,,
11,10,10,,,,,,,,
12,10,20,,,,,,,,
13,10,30,,,,,,,,
14,10,40,,,,,,,,
15,10,50,,,,,,,,
16,10,60,,,,,,,,
17,10,70,,,,,,,,
18,10,80,,,,,,,,
19,10,90,,,,,,,,
20,10,100,,,,,,,,
21,50,10,,,,,,,,
22,50,20,,,,,,,,
23,50,30,,,,,,,,
24,50,40,,,,,,,,
25,50,50,,,,,,,,
26,50,60,,,,,,,,
27,50,70,,,,,,,,
28,50,80,,,,,,,,
29,50,90,,,,,,,,
30,50,100,,,,,,,,
31,100,10,,,,,,,,
32,100,20,,,,,,,,
33,100,30,,,,,,,,
34,100,40,,,,,,,,
35,100,50,,,,,,,,
36,100,60,,,,,,,,
37,100,70,,,,,,,,
38,100,80,,,,,,,,
39,100,90,,,,,,,,
40,100,100,,,,,,,,
41,300,10,,,,,,,,
42,300,20,,,,,,,,
43,300,30,,,,,,,,
44,300,40,,,,,,,,
45,300,50,,,,,,,,
46,300,60,,,,,,,,
47,300,70,,,,,,,,
48,300,80,,,,,,,,
49,300,90,,,,,,,,
50,300,100,,,,,,,,
51,500,10,,,,,,,,
52,500,20,,,,,,,,
53,500,30,,,,,,,,
54,500,40,,,,,,,,
55,500,50,,,,,,,,
56,500,60,,,,,,,,
57,500,70,,,,,,,,
58,500,80,,,,,,,,
59,500,90,,,,,,,,
60,500,100,,,,,,,,
