,d,n,CL,CU,CL2,CU2,ACL,ACU,ACL2,ACU2
1,1,30, ,,,,,,,
2,1,40,,,,,,,,
3,1,50,,,,,,,,
4,1,60,,,,,,,,
5,1,70,,,,,,,,
6,1,80,,,,,,,,
7,1,90,,,,,,,,
8,1,100,,,,,,,,
9,5,30,,,,,,,,
10,5,40,,,,,,,,
11,5,50,,,,,,,,
12,5,60,,,,,,,,
13,5,70,,,,,,,,
14,5,80,,,,,,,,
15,5,90,,,,,,,,
16,5,100,,,,,,,,
17,10,30,,,,,,,,
18,10,40,,,,,,,,
19,10,50,,,,,,,,
20,10,60,,,,,,,,
21,10,70,,,,,,,,
22,10,80,,,,,,,,
23,10,90,,,,,,,,
24,10,100,,,,,,,,
25,50,30,,,,,,,,
26,50,40,,,,,,,,
27,50,50,,,,,,,,
28,50,60,,,,,,,,
29,50,70,,,,,,,,
30,50,80,,,,,,,,
31,50,90,,,,,,,,
32,50,100,,,,,,,,
33,100,30,,,,,,,,
34,100,40,,,,,,,,
35,100,50,,,,,,,,
36,100,60,,,,,,,,
37,100,70,,,,,,,,
38,100,80,,,,,,,,
39,100,90,,,,,,,,
40,100,100,,,,,,,,
41,300,30,,,,,,,,
42,300,40,,,,,,,,
43,300,50,,,,,,,,
44,300,60,,,,,,,,
45,300,70,,,,,,,,
46,300,80,,,,,,,,
47,300,90,,,,,,,,
48,300,100,,,,,,,,
49,500,30,,,,,,,,
50,500,40,,,,,,,,
51,500,50,,,,,,,,
52,500,60,,,,,,,,
53,500,70,,,,,,,,
54,500,80,,,,,,,,
55,500,90,,,,,,,,
56,500,100,,,,,,,,
