"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,1,1,474.4,471.04
"2",1,20,1,1,461.5,453.15
"3",1,30,0.99,1,464.54,457
"4",1,40,1,1,422.93,427.22
"5",1,50,1,1,466.14,467.36
"6",1,60,1,0.99,424.818181818182,443.76
"7",1,70,1,1,429.42,453.97
"8",1,80,1,1,458.07,447.34
"9",1,90,1,1,454.09,445.97
"10",1,100,1,1,449.41,449.08
"11",10,10,1,1,478.32,458.08
"12",10,20,1,1,479.48,453.23
"13",10,30,1,1,443.57,467.26
"14",10,40,1,1,470,478.25
"15",10,50,1,1,454.87,460.98
"16",10,60,1,1,462.51,437.95
"17",10,70,1,1,457.49,464.2
"18",10,80,1,1,455.8,448.6
"19",10,90,1,1,447.26,445.41
"20",10,100,1,1,449.78,444.74
"21",50,10,1,1,467.79,456.58
"22",50,20,0.99,1,463.09,439.171717171717
"23",50,30,1,1,474.93,470.57
"24",50,40,1,1,443.79,444.02
"25",50,50,1,1,468.45,472.08
"26",50,60,1,1,448.37,454.32
"27",50,70,1,1,462.6,464.42
"28",50,80,1,1,453.58,455.63
"29",50,90,1,1,449.92,447.41
"30",50,100,1,1,449.51,449.98
"31",100,10,0.98,1,463.67,477.244897959184
"32",100,20,0.97,0.99,467.989898989899,427.628865979381
"33",100,30,1,1,480.56,478.02
"34",100,40,1,1,470.84,447.94
"35",100,50,1,1,449.85,433.15
"36",100,60,1,1,439.77,454.89
"37",100,70,1,1,458.07,461
"38",100,80,1,1,455.78,446.98
"39",100,90,1,1,447.77,448.45
"40",100,100,1,1,448.41,448.81
"41",300,10,1,1,467.16,463.98
"42",300,20,1,1,446.87,485.79
"43",300,30,0.99,1,462.28,421.30303030303
"44",300,40,0,0,0,0
"45",300,50,0,0,0,0
"46",300,60,0,0,0,0
"47",300,70,0,0,0,0
"48",300,80,0,0,0,0
"49",300,90,0,0,0,0
"50",300,100,0,0,0,0
"51",500,10,0,0,0,0
"52",500,20,0,0,0,0
"53",500,30,0,0,0,0
"54",500,40,0,0,0,0
"55",500,50,0,0,0,0
"56",500,60,0,0,0,0
"57",500,70,0,0,0,0
"58",500,80,0,0,0,0
"59",500,90,0,0,0,0
"60",500,100,0,0,0,0
