"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,0.99,0.99,Inf,Inf
"2",1,20,1,1,16.66,20.15
"3",1,30,0.99,0.99,Inf,Inf
"4",1,40,0.99,0.99,Inf,Inf
"5",1,50,1,0.99,Inf,24.4
"6",1,60,1,0.94,Inf,19.9
"7",1,70,1,0.98,Inf,14.89
"8",1,80,1,1,9.92,10
"9",1,90,1,0.99,Inf,5
"10",1,100,1,1,0,0
"11",10,10,0.98,0.97,Inf,Inf
"12",10,20,0.99,0.96,Inf,Inf
"13",10,30,0.96,0.9,Inf,Inf
"14",10,40,1,0.97,Inf,24.25
"15",10,50,1,1,18.76,22.5
"16",10,60,1,1,19.6,19.67
"17",10,70,1,1,14.26,14.84
"18",10,80,1,1,9.55,10
"19",10,90,1,1,5,5
"20",10,100,1,1,0,0
"21",50,10,0.83,0.97,Inf,Inf
"22",10,20,1,0.66,Inf,36.58
"23",10,30,1,0.9,Inf,17.37
"24",10,40,1,1,26.73,25.3
"25",50,50,0.99,0.97,Inf,Inf
"26",50,60,1,1,12.57,17.66
"27",50,70,1,0.97,Inf,15
"28",50,80,1,1,10,10
"29",50,90,1,0.99,Inf,5
"30",50,100,1,1,0,0
"31",100,10,1,1,38.67,45
"32",100,20,0.92,0.85,Inf,Inf
"33",100,30,0.99,0.96,Inf,Inf
"34",100,40,1,1,13.44,22.85
"35",100,50,1,0.99,Inf,22.01
"36",100,60,1,0.99,Inf,19.3
"37",100,70,1,1,14.2,15
"38",100,80,1,1,9.86,10
"39",100,90,1,0.99,Inf,5
"40",100,100,1,0.97,Inf,0
"41",300,10,0.95,0.95,Inf,Inf
"42",300,20,0.95,0.97,Inf,Inf
"43",300,30,1,1,25.41,4.81
"44",300,40,0.98,0.99,Inf,Inf
"45",300,50,1,0.98,Inf,22.03
"46",300,60,1,1,17.88,18.1
"47",300,70,1,0.98,Inf,14.76
"48",300,80,1,0.99,Inf,10
"49",300,90,1,1,4.92,5
"50",300,100,1,1,0,0
"51",500,10,0.85,0.95,Inf,Inf
"52",500,20,1,0.94,Inf,28.24
"53",500,30,0.93,0.99,Inf,Inf
"54",500,40,1,1,16.36,23.3
"55",500,50,1,0.99,Inf,20.4
"56",500,60,1,0.98,Inf,16.99
"57",500,70,1,0.93,Inf,14.58
"58",500,80,1,0.97,Inf,9.96
"59",500,90,1,1,5,5
"60",500,100,1,0.99,Inf,0
