"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,0.26,0.23,42.8695652173913,46.9230769230769
"2",1,20,0.29,0.37,35.1891891891892,34.3103448275862
"3",1,30,0.26,0.45,42.3333333333333,43.7307692307692
"4",1,40,0.27,0.42,28.9285714285714,33.9259259259259
"5",1,50,0.48,0.69,32.463768115942,26.4791666666667
"6",1,60,0.36,0.21,20.8095238095238,28.2777777777778
"7",1,70,0.61,0.39,24.1538461538462,21.5573770491803
"8",1,80,0.92,0.97,40.5979381443299,27.7282608695652
"9",1,90,0.81,0.8,28.625,18.8888888888889
"10",1,100,0.99,0.96,35.6145833333333,28.6565656565657
"11",10,10,0.38,0.31,19.4516129032258,27.7368421052632
"12",10,20,0.61,0.52,13.3269230769231,9.08196721311475
"13",10,30,0.85,0.75,14.1333333333333,11.5647058823529
"14",10,40,1,0.97,10.1546391752577,14.95
"15",10,50,1,1,14.25,16.97
"16",10,60,1,1,23.31,23.96
"17",10,70,1,1,24.01,23.78
"18",10,80,1,1,28.05,27.66
"19",10,90,1,1,32.83,34.62
"20",10,100,1,1,43.01,43.45
"21",50,10,0.96,0.95,6.44210526315789,5.54166666666667
"22",50,20,1,1,15.42,10.39
"23",50,30,1,1,16.58,18.03
"24",50,40,1,1,17.57,16.92
"25",50,50,1,1,18.65,20.59
"26",50,60,1,1,22.03,27.28
"27",50,70,1,1,28.44,31.9
"28",50,80,1,1,32.48,35.81
"29",50,90,1,1,37.15,40.47
"30",50,100,1,1,44.08,45.9
"31",100,10,1,1,5.9,9.83
"32",100,20,1,1,7.45,10.66
"33",100,30,1,1,14.89,14.41
"34",100,40,1,1,16.6,20.43
"35",100,50,1,1,20.97,24.67
"36",100,60,1,1,24.66,26.54
"37",100,70,1,1,32.92,33.59
"38",100,80,1,1,36.35,37.67
"39",100,90,1,1,39.34,41.74
"40",100,100,1,1,44.87,46.94
"41",300,10,1,1,12.04,7.87
"42",300,20,1,1,14.06,13.16
"43",300,30,1,1,19.04,15.37
"44",300,40,1,1,18.41,20.02
"45",300,50,1,1,25.65,25.22
"46",300,60,1,1,28.88,29.6
"47",300,70,1,1,33.71,35.11
"48",300,80,1,1,36.97,38.48
"49",300,90,1,1,40.94,42.99
"50",300,100,1,1,46.89,48
"51",500,10,1,1,11.63,7.01
"52",500,20,1,1,13.05,13.36
"53",500,30,1,1,19.17,20.18
"54",500,40,1,1,20.14,20.34
"55",500,50,1,1,26.62,27.16
"56",500,60,1,1,29.33,31
"57",500,70,1,1,31.78,33.29
"58",500,80,1,1,40.12,38.83
"59",500,90,1,1,42.96,43.87
"60",500,100,1,1,46.84,48.11
