"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,0.82,0.82,Inf,Inf
"2",1,20,0.9,0.9,Inf,Inf
"3",1,30,0.98,0.98,Inf,Inf
"4",1,40,0.99,0.98,Inf,Inf
"5",1,50,0.99,0.99,Inf,Inf
"6",1,60,0.95,1,20,Inf
"7",1,70,1,0.96,Inf,14.4
"8",1,80,0.97,1,10,Inf
"9",1,90,1,0.99,Inf,4.96
"10",1,100,1,1,0,0
"11",10,10,0.9,0.98,Inf,Inf
"12",10,20,0.99,1,20.39,Inf
"13",10,30,1,1,10.61,12.24
"14",10,40,1,1,27.38,23.8
"15",10,50,1,1,21.49,23.65
"16",10,60,1,1,19.92,20
"17",10,70,1,1,15,15
"18",10,80,1,1,10,10
"19",10,90,1,1,5,5
"20",10,100,1,1,0,0
"21",50,10,1,1,25.14,37.43
"22",10,20,0.99,0.99,Inf,Inf
"23",10,30,1,1,24.42,10.38
"24",10,40,1,1,23.25,26.17
"25",50,50,1,1,23.76,22.44
"26",50,60,1,1,19.99,20
"27",50,70,1,1,15,15
"28",50,80,1,1,10,10
"29",50,90,1,1,5,5
"30",50,100,1,1,0,0
"31",100,10,1,1,36.84,29.59
"32",100,20,1,1,33.23,14.84
"33",100,30,1,1,21.33,13.52
"34",100,40,1,1,27.59,29
"35",100,50,1,1,24,24
"36",100,60,1,1,20,20
"37",100,70,1,1,15,15
"38",100,80,1,1,10,10
"39",100,90,1,1,5,5
"40",100,100,1,1,0,0
"41",300,10,1,1,15.63,12.42
"42",300,20,1,1,21.11,28.83
"43",300,30,1,1,29.22,26.89
"44",300,40,1,1,21.71,20.06
"45",300,50,1,1,23.88,24.12
"46",300,60,1,1,20,20
"47",300,70,1,1,15,15
"48",300,80,1,1,10,10
"49",300,90,1,1,5,5
"50",300,100,1,1,0,0
"51",500,10,1,1,17.7,24.34
"52",500,20,1,1,26.32,30.33
"53",500,30,1,1,24.1,24.53
"54",500,40,1,1,23.77,24.54
"55",500,50,1,1,24.81,23.94
"56",500,60,1,1,20,20
"57",500,70,1,1,15,15
"58",500,80,1,1,10,10
"59",500,90,1,1,5,5
"60",500,100,1,1,0,0
