,d,n,CL,CU,CL2,CU2,ACL,ACU,ACL2,ACU2
1,1,10,0.844222845,1.251583139,3.286063004,8.681454803,2.755338943,4.650275931,3.265214743,8.647294003
2,1,20,0.686269168,0.822217867,2.404585389,3.607830132,2.241619242,2.86264365,2.342394902,3.492795221
3,1,30,0.606982107,0.735309815,2.109834162,2.721101578,2.128204835,2.479550291,2.158090488,2.856805623
4,1,40,0.598509479,0.71597806,2.087630329,2.621765468,2.076108852,2.301272907,2.111536824,2.71052329
5,1,50,0.573371822,0.654606548,2.046317719,2.34678894,2.053948028,2.226564677,2.058213576,2.388922378
6,1,60,0.590657781,0.68488777,2.09262904,2.536115234,2.036973886,2.167505354,2.044838037,2.413038546
7,1,70,0.580579967,0.659072869,2.057588299,2.409811989,2.027406808,2.137539574,2.021512356,2.225200307
8,1,80,0.514177501,0.587251291,2.001477224,2.1086378,2.017595005,2.111891177,2.009960473,2.128521035
9,1,90,0.546086072,0.608996224,2.004451341,2.176487646,2.01174462,2.086352053,2.004287172,2.138646585
10,1,100,0.521570981,0.584616699,2.000184653,2.090535364,2.005608406,2.057215388,2.000109404,2.075078442
11,10,10,1.081433611,1.133528396,2.121490089,2.350485213,2.36929192,2.529664694,2.096820972,2.296894202
12,10,20,0.99130375,1.031372125,2.043541295,2.167479761,2.151803028,2.229377536,2.037277789,2.131106282
13,10,30,0.965759576,0.998738299,2.028311826,2.117628637,2.090711101,2.139853291,2.02051963,2.08817857
14,10,40,0.955971189,0.98360239,2.011450933,2.060459807,2.063894976,2.102173103,2.007358414,2.039545472
15,10,50,0.947100333,0.975481739,2.008523286,2.050318973,2.047568292,2.078620338,2.005932167,2.037835739
16,10,60,0.934193221,0.963274903,2.00457817,2.032476658,2.03675169,2.063187496,2.00279908,2.022537238
17,10,70,0.930578687,0.958826712,2.003279531,2.031372803,2.029336948,2.052292393,2.002568907,2.025357918
18,10,80,0.927240948,0.95539359,2.001774568,2.023211556,2.023906386,2.044989071,2.001402823,2.019408713
19,10,90,0.922882592,0.951343554,2.000718449,2.016648006,2.01903794,2.03682511,2.000505343,2.011852495
20,10,100,0.908290057,0.937926311,2.000011008,2.008329079,2.014031023,2.028785177,2.00000673,2.005736482
21,50,10,1.108114876,1.126653279,2.024444932,2.072318111,2.299230753,2.354316601,2.020831849,2.063030464
22,50,20,1.033194485,1.046894287,2.00698696,2.025846668,2.128361259,2.154839729,2.006118071,2.022701367
23,50,30,1.010605309,1.023118014,2.003584905,2.015503311,2.080591995,2.097758742,2.002413286,2.010875375
24,50,40,0.999945715,1.011413171,2.002972971,2.014413902,2.057561773,2.07052271,2.002518721,2.012038908
25,50,50,0.992799745,1.004233334,2.001425361,2.0093136,2.044437229,2.055868738,2.001161655,2.007339736
26,50,60,0.988558293,0.999706583,2.001318354,2.010272604,2.035838729,2.045600154,2.0007288,2.005696598
27,50,70,0.986999865,0.99786362,2.000603887,2.005533792,2.029711925,2.038203131,2.000479821,2.004405611
28,50,80,0.982369891,0.992973084,2.000324343,2.004524692,2.024913334,2.03307672,2.000226705,2.003205343
29,50,90,0.980910703,0.991544883,2.000154366,2.003698593,2.020979292,2.027901017,2.00010354,2.002529338
30,50,100,0.976470171,0.987434501,2.000001691,2.001890938,2.017192127,2.02390321,2.00000119,2.00152998
31,100,10,1.113700904,1.125747322,2.011303359,2.033898088,2.283997827,2.320918796,2.008937621,2.026652206
32,100,20,1.038679943,1.048957423,2.005169477,2.017953451,2.123622871,2.140079726,2.004037923,2.014506814
33,100,30,1.019127407,1.027368091,2.00207905,2.008756765,2.07798614,2.089256418,2.001868056,2.007855958
34,100,40,1.00700846,1.015477652,2.001506055,2.008038315,2.05615679,2.064997422,2.000898835,2.00493481
35,100,50,1.00197399,1.009795045,2.000703546,2.004396079,2.043759499,2.051207803,2.000674131,2.003865038
36,100,60,0.997983257,1.005620833,2.000516348,2.003925563,2.035506595,2.041851708,2.000408648,2.003250148
37,100,70,0.993389619,1.00109375,2.00034636,2.00333999,2.029590559,2.035537936,2.000224898,2.002146324
38,100,80,0.990807595,0.998787832,2.00019041,2.002515271,2.02511582,2.030718658,2.000118412,2.001629571
39,100,90,0.990733206,0.998203441,2.000063877,2.001610389,2.021444223,2.026591423,2.000047675,2.001218683
40,100,100,0.987714079,0.995239303,2.000001637,2.001012268,2.01830021,2.022871222,2.000000858,2.000817041
41,300,10,1.118449679,1.125427426,2.003725954,2.0108582,2.269024636,2.28894616,2.003338461,2.009414348
42,300,20,1.046887964,1.052146726,2.001349912,2.005028423,2.11735393,2.126415774,2.001116894,2.003938185
43,300,30,1.025180261,1.030374427,2.000875294,2.003833302,2.075037165,2.081223655,2.000620852,2.002788059
44,300,40,1.016263562,1.020815977,2.000412987,2.002149429,2.054689741,2.05939285,2.000334412,2.001902662
45,300,50,1.010602094,1.015039347,2.000248414,2.001358874,2.042882364,2.047011373,2.000183941,2.001112047
46,300,60,1.006403567,1.010612934,2.000160268,2.001316021,2.035004233,2.038522035,2.000109382,2.000933484
47,300,70,1.003498074,1.007926818,2.000087078,2.000826882,2.029554492,2.032774244,2.00005969,2.00062585
48,300,80,1.001749406,1.005683242,2.000052385,2.000649629,2.025427081,2.028371731,2.000045054,2.000603945
49,300,90,0.999755884,1.004107069,2.000030635,2.000728955,2.022012927,2.024757441,2.000024124,2.000579545
50,300,100,0.997173409,1.001458424,2.000000389,2.000330177,2.019077325,2.021689883,2.000000339,2.00026325
51,500,10,1.120188866,1.125442514,2.00191076,2.005891412,2.265146428,2.279200259,2.001833144,2.005305047
52,500,20,1.048533415,1.05273166,2.000901843,2.003293397,2.116482842,2.123135026,2.000641157,2.002355358
53,500,30,1.02841605,1.032168413,2.000381099,2.001744384,2.074160707,2.078606031,2.000301133,2.001315512
54,500,40,1.018524197,1.022064901,2.000259486,2.001355977,2.05417678,2.057900986,2.000186419,2.000997582
55,500,50,1.013142729,1.016394228,2.00013962,2.000805649,2.04259308,2.045584678,2.00009886,2.00055887
56,500,60,1.009329062,1.012501767,2.000098923,2.000738471,2.034943998,2.037664219,2.000067811,2.000542121
57,500,70,1.006020031,1.009358733,2.00007896,2.00075189,2.029589526,2.031987247,2.000058042,2.000559622
58,500,80,1.0052331,1.00812497,2.000021035,2.000295251,2.025505067,2.027873317,2.00002226,2.000292942
59,500,90,1.00168981,1.005106617,2.000013689,2.000366913,2.022099402,2.02444015,2.000010619,2.000218928
60,500,100,1.000402894,1.003737888,2.000000196,2.000248609,2.019474614,2.021433301,2.000000274,2.000192787
