"","d","n","CL","CU","ACL","ACU"
"1",1,10,2.39817434054602,7.63752805710782,7.92951028923509,23.9502949823538
"2",1,20,1.59281624500837,3.02260071664321,5.16298240473569,8.66413384716706
"3",1,30,1.32599437375481,1.99069113848385,4.54629426471789,6.21755332057525
"4",1,40,1.24212424427591,1.65839541459586,4.29471000521872,5.24727604708712
"5",1,50,1.12161682580625,1.3471642041422,4.19167769530307,4.77804124211808
"6",1,60,1.23847398438798,1.58397837909369,4.16028983054314,4.81649810386788
"7",1,70,1.09291169647633,1.39648185231604,4.09526274483743,4.54038618459334
"8",1,80,1.32002485743955,1.88290082182345,4.07721466667891,4.52363705321421
"9",1,90,1.09959831096586,1.32775648953254,4.04324905115816,4.34268938391183
"10",1,100,1.08433017990858,1.17750705917041,4.01451396833527,4.19344698973245
"11",10,10,2.20086297497705,2.39648261176902,4.84360402384536,5.34263100361642
"12",10,20,2.00611361808808,2.10334543919662,4.3437482325998,4.56488753447852
"13",10,30,1.94338530179246,2.01823833869365,4.20348271495544,4.33462019763805
"14",10,40,1.91208270113684,1.9732559818875,4.14041338941537,4.23863148929448
"15",10,50,1.90253103237188,1.95864383046087,4.10321479978066,4.17938126385947
"16",10,60,1.89332351804393,1.9474413510492,4.08621300485716,4.17057134898158
"17",10,70,1.87531897360183,1.9313886099535,4.06682671051759,4.13233311068819
"18",10,80,1.85821771283574,1.91832635507816,4.05131433228436,4.09579007442498
"19",10,90,1.83880906153874,1.89597497522173,4.04000210426661,4.07807443317596
"20",10,100,1.82917314076429,1.88741761860213,4.03022171712462,4.06502537306359
"21",50,10,2.22206594833022,2.26202442391315,4.61909091434641,4.7485994788989
"22",50,20,2.06659463140876,2.09586100645957,4.26331452473075,4.31883993220415
"23",50,30,2.02133405418233,2.04635606545029,4.16366795504132,4.20211124849319
"24",50,40,2.00190293165077,2.02539392156313,4.11746876614149,4.14724782147127
"25",50,50,1.98788919661814,2.01040186450948,4.09080107462747,4.11376995859973
"26",50,60,1.9777384523816,1.99983485404456,4.07296839882767,4.09518910338492
"27",50,70,1.97193458247509,1.99185161762181,4.06069013889034,4.07931487066989
"28",50,80,1.96247837194225,1.9852241966656,4.05106296113028,4.06663386318731
"29",50,90,1.95792631056735,1.98077378663559,4.04253880102746,4.05774286545537
"30",50,100,1.95800920718962,1.97925516064879,4.03518721691198,4.04956310422082
"31",100,10,2.23091886267988,2.25534499263053,4.57432508770488,4.64986654280009
"32",100,20,2.07983798747248,2.09959877723829,4.24990099967288,4.28410067308377
"33",100,30,2.03658798719802,2.05469510257461,4.15687459628312,4.18162715441784
"34",100,40,2.01579011152477,2.03290038098237,4.11369715805314,4.13279777255347
"35",100,50,2.00624918180374,2.02095649415403,4.08830315887418,4.10367965974268
"36",100,60,1.99742723044424,2.0121427677964,4.07171346042926,4.0848070263258
"37",100,70,1.99074386644194,2.00470179242455,4.06004894567391,4.07119465117989
"38",100,80,1.98918805048325,2.00212911104264,4.05112810905655,4.06232566825165
"39",100,90,1.98114423185153,1.99598580410475,4.04334890911559,4.05384805927977
"40",100,100,1.97202443303012,1.98767662937251,4.03651826434347,4.04620488991347
"41",300,10,2.23787788415523,2.25166732607739,4.54211492823849,4.58030869957136
"42",300,20,2.09436376665929,2.10472443433004,4.23701840798662,4.25474487098004
"43",300,30,2.05188837901934,2.06180625334309,4.15068206226306,4.16341592530818
"44",300,40,2.03346227865182,2.04257860988643,4.10980460674196,4.11941747090543
"45",300,50,2.02168902626643,2.0305599501376,4.08605925385225,4.09399746780473
"46",300,60,2.01327573909545,2.02169950991524,4.07049439354363,4.07755234517908
"47",300,70,2.00760534109976,2.01588416404539,4.05925301715549,4.06585555965316
"48",300,80,2.00402403923419,2.01219690808047,4.05085499032025,4.05670864443691
"49",300,90,1.99943944981373,2.0079279525409,4.04403161071681,4.04976978795111
"50",300,100,1.99450783265944,2.00323471359156,4.03801080717499,4.04363153414554
"51",500,10,2.24096100980992,2.25106682412887,4.53143858551905,4.56090832160451
"52",500,20,2.09749755602995,2.1058194144362,4.23341865132864,4.24723565355731
"53",500,30,2.05730120878164,2.0641149503221,4.14835669200662,4.15771447556358
"54",500,40,2.03679127532399,2.04423848577968,4.10870026841406,4.11606335185708
"55",500,50,2.02599815455352,2.03253174993487,4.08546606988367,4.09158571497152
"56",500,60,2.01986665393835,2.02551206627027,4.07004732600079,4.07553703673679
"57",500,70,2.01225281552954,2.01851681085391,4.05917612675378,4.06407950330639
"58",500,80,2.00934526213371,2.01533206700614,4.05099901434756,4.05565765004321
"59",500,90,2.00482543905148,2.01143758781959,4.04438223176797,4.04882292609042
"60",500,100,2.0010666603952,2.00753968363226,4.03892879202405,4.04318475807239
