"","d","n","CL","CU","CL2","CU2","ACL","ACU","ACL2","ACU2"
"1",1,10,0.845718977804693,1.18084597430299,3.25438738903866,10.7813380897695,2.8365233128473,4.425186174015,3.46152659878378,10.012553635305
"2",1,20,0.70112180101798,0.868733673056821,2.44518023616476,4.20047380539732,2.28382632461648,2.87530388854672,2.41714446519266,3.84332306619386
"3",1,30,0.643429910305237,0.752742710345042,2.2442685883443,3.01093165380482,2.1277389393777,2.42405429626386,2.22475597786724,3.17598221935859
"4",1,40,0.614490971094674,0.721779593472172,2.15204623384013,2.82951022618067,2.08710830122124,2.2980616512733,2.11490823454825,2.54965736719663
"5",1,50,0.602849329786507,0.698873396898848,2.11800604338852,2.62644450442275,2.06148093502806,2.24754711264547,2.08222973291338,2.50633882172214
"6",1,60,0.551798001464393,0.630405172935918,2.0248609618964,2.1924232448432,2.03183714576811,2.22735405102244,2.02721773845138,2.25452811597183
"7",1,70,0.556705114382431,0.645933139590564,2.02528064909699,2.23533339326224,2.02480618703253,2.16167199637133,2.02554596762286,2.21889495665104
"8",1,80,0.560485511884927,0.624699937329623,2.02861447966086,2.20710370156652,2.02057081287518,2.11035457836535,2.00860762826799,2.19174529835071
"9",1,90,0.538988526525768,0.621674886188714,2.00050791579382,2.22621696470201,2.01125939298759,2.07686269794505,2.00633520513044,2.15579689182787
"10",1,100,0.512105193915679,0.581118069734701,2.0000176822507,2.10797323702664,2.0046653118745,2.04685046738571,2.00008017482159,2.12895611964035
"11",10,10,1.08159126180324,1.13181387903858,2.10677220286028,2.30421734432953,2.36988092822821,2.54154474853987,2.07607106938041,2.23161498977403
"12",10,20,0.98759180786116,1.02666641341918,2.05890774695591,2.20947532547898,2.15320920259771,2.23649823944734,2.04684046567294,2.14084804625703
"13",10,30,0.969399955919735,0.999411482528192,2.02175843096134,2.0965243691217,2.08877197085991,2.13736885785521,2.01852551558819,2.07932547831633
"14",10,40,0.956876605804919,0.982962113665507,2.01168662296125,2.06225238177773,2.0644614234419,2.10158744430225,2.00718776066739,2.04297095667719
"15",10,50,0.938892891119424,0.965276560478757,2.00920865664013,2.05430438010334,2.04755601210821,2.07403692385444,2.00532653419068,2.03705628175308
"16",10,60,0.933249680335585,0.968728636188615,2.00565370089892,2.04014634559182,2.03911194865584,2.06351301747148,2.0037431150717,2.0305678028006
"17",10,70,0.933958670023489,0.958742424446367,2.00401399701549,2.03154004519879,2.02898220784094,2.05189982287264,2.00222791688013,2.01886030339823
"18",10,80,0.918979402701712,0.947998278746123,2.00203151416475,2.02044177734577,2.0230297326116,2.04249203985553,2.00126836759252,2.01376675564718
"19",10,90,0.925071422707447,0.94968699754345,2.00083422120193,2.01323025571059,2.01782273225651,2.03443939076523,2.00044382798493,2.00962081465847
"20",10,100,0.913888529761431,0.945972851717945,2.00000578759924,2.00710519558864,2.01413924022536,2.02703256539592,2.00001681065094,2.00774336427054
"21",50,10,1.10874628394326,1.12467291365954,2.02170796308328,2.05961502844088,2.29905055169939,2.352057807278,2.0189766360567,2.04960643238338
"22",10,20,0.992833040708609,1.02977235757373,2.0337696642562,2.14514245950941,2.15732137787258,2.230312314455,2.02146526550187,2.09561783315921
"23",10,30,0.971564517307643,1.0007114990283,2.0146342697051,2.07602585608971,2.09391767205572,2.14486075685085,2.01232178774314,2.05614403314709
"24",10,40,0.955216265590809,0.98765429550529,2.01364077440557,2.07729763377485,2.0618744759095,2.10025518091766,2.00987383449442,2.06455878321996
"25",50,50,0.995014573462249,1.00405834199382,2.00146139949491,2.01013207483769,2.04446741044165,2.05533596317569,2.00101886748783,2.00637648544038
"26",50,60,0.988905722962946,0.999543815089049,2.00086497045971,2.00593857836927,2.03610031198847,2.04654135478174,2.00067972221554,2.00408044891189
