"","d","n","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST"
"1",1,10,0.5,0.49,0.188679245283019,0.169811320754717
"2",1,20,0.47,0.43,0.133333333333333,0.1
"3",1,30,0.71,0.61,0.52,0.32
"4",1,40,0.83,0.58,0.765957446808511,0.148936170212766
"5",1,50,0.84,0.62,0.733333333333333,0.222222222222222
"6",1,60,0.8,0.7,0.796610169491525,0.745762711864407
"7",1,70,0.96,0.68,0.98,0.56
"8",1,80,0.91,0.72,0.933333333333333,0.622222222222222
"9",1,90,0.91,0.65,1,0.423076923076923
"10",1,100,0.97,0.74,1,0.732142857142857
"11",10,10,0.51,0.49,0.339622641509434,0.226415094339623
"12",10,20,0.6,0.51,0.24,0.14
"13",10,30,0.73,0.46,0.538461538461538,0.153846153846154
"14",10,40,0.79,0.61,0.69811320754717,0.377358490566038
"15",10,50,0.9,0.64,0.909090909090909,0.563636363636364
"16",10,60,0.95,0.68,1,0.4
"17",10,70,0.92,0.76,0.96,0.7
"18",10,80,0.84,0.76,1,0.928571428571429
"19",10,90,0.88,0.78,1,0.765957446808511
"20",10,100,0.91,0.77,1,0.764705882352941
"21",50,10,0.44,0.47,0.156862745098039,0.235294117647059
"22",10,20,0.48,0.51,0.230769230769231,0.192307692307692
"23",10,30,0.69,0.52,0.62962962962963,0.333333333333333
"24",10,40,0.85,0.53,0.78,0.08
"25",50,50,0.88,0.65,0.972972972972973,0.297297297297297
"26",50,60,0.88,0.62,0.966666666666667,0.5
"27",50,70,0.94,0.62,0.982758620689655,0.5
"28",50,80,0.97,0.73,1,0.530612244897959
"29",50,90,0.97,0.82,1,0.792452830188679
"30",50,100,0.96,0.81,1,0.68
"31",100,10,0.51,0.48,0.108695652173913,0.0217391304347826
"32",100,20,0.59,0.58,0.24390243902439,0.219512195121951
"33",100,30,0.69,0.56,0.489795918367347,0.244897959183673
"34",100,40,0.73,0.56,0.604166666666667,0.354166666666667
"35",100,50,0.81,0.53,0.818181818181818,0.236363636363636
"36",100,60,0.96,0.71,0.980392156862745,0.549019607843137
"37",100,70,0.96,0.69,0.956521739130435,0.434782608695652
"38",100,80,0.94,0.81,1,0.705882352941177
"39",100,90,0.97,0.85,1,0.928571428571429
"40",100,100,0.9,0.71,1,0.976190476190476
"41",300,10,0.6,0.55,0.177777777777778,0.133333333333333
"42",300,20,0.51,0.51,0.230769230769231,0.211538461538462
"43",300,30,0.61,0.54,0.294117647058824,0.156862745098039
"44",300,40,0.77,0.51,0.686274509803922,0.156862745098039
"45",300,50,0.83,0.61,0.826086956521739,0.369565217391304
"46",300,60,0.9,0.61,0.963636363636364,0.436363636363636
"47",300,70,0.92,0.64,0.963636363636364,0.490909090909091
"48",300,80,0.9,0.71,1,0.48780487804878
"49",300,90,0.98,0.61,1,0.418181818181818
"50",300,100,0.97,0.66,1,0.491525423728814
"51",500,10,0.55,0.54,0.326923076923077,0.25
"52",500,20,0.52,0.56,0.211538461538462,0.307692307692308
"53",500,30,0.61,0.53,0.352941176470588,0.254901960784314
"54",500,40,0.74,0.58,0.583333333333333,0.1875
"55",500,50,0.74,0.52,0.685185185185185,0.203703703703704
"56",500,60,0.9,0.53,0.875,0.25
"57",500,70,0.96,0.59,0.976744186046512,0.162790697674419
"58",500,80,0.93,0.72,1,0.66
"59",500,90,0.97,0.65,1,0.361702127659574
"60",500,100,0.92,0.81,1,0.702127659574468
