,d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST
1,1,10,0.53,0.52,0.142857143,0.142857143
2,1,20,0.61,0.63,0.34,0.42
3,1,30,0.67,0.61,0.390243902,0.390243902
4,1,40,0.76,0.66,0.558139535,0.325581395
5,1,50,0.85,0.59,0.826086957,0.543478261
6,1,60,0.95,0.59,0.95,0.316666667
7,1,70,0.93,0.71,0.958333333,0.395833333
8,1,80,0.86,0.62,0.948717949,0.846153846
9,1,90,0.96,0.76,1,0.571428571
10,1,100,0.97,0.85,1,0.857142857
11,10,10,0.53,0.48,0.2,0.08
12,10,20,0.57,0.5,0.274509804,0.117647059
13,10,30,0.7,0.51,0.489361702,0.106382979
14,10,40,0.75,0.52,0.677966102,0.288135593
15,10,50,0.87,0.62,0.833333333,0.270833333
16,10,60,0.92,0.63,0.942307692,0.557692308
17,10,70,0.95,0.8,0.979166667,0.6875
18,10,80,0.95,0.69,1,0.574468085
19,10,90,0.97,0.82,1,0.72
20,10,100,0.9,0.81,1,0.911111111
21,50,10,0.51,0.51,0.086956522,0.086956522
22,50,20,0.46,0.45,0.19047619,0.174603175
23,50,30,0.69,0.51,0.545454545,0.272727273
24,50,40,0.83,0.57,0.703703704,0.259259259
25,50,50,0.87,0.6,0.901960784,0.37254902
26,50,60,0.94,0.57,0.958333333,0.25
27,50,70,0.94,0.6,1,0.270833333
28,50,80,0.98,0.8,1,0.74
29,50,90,0.93,0.81,1,0.695652174
30,50,100,0.96,0.81,1,0.754098361
31,100,10,0.47,0.53,0.113207547,0.188679245
32,100,20,0.64,0.55,0.205128205,0.102564103
33,100,30,0.65,0.48,0.474576271,0.203389831
34,100,40,0.76,0.52,0.719298246,0.263157895
35,100,50,0.85,0.48,0.819672131,0.229508197
36,100,60,0.92,0.55,0.931034483,0.379310345
37,100,70,0.89,0.68,1,0.551020408
38,100,80,0.94,0.72,1,0.674418605
39,100,90,0.95,0.7,1,0.519230769
40,100,100,0.94,0.79,1,0.708333333
41,300,10,0.51,0.47,0.081632653,0.06122449
42,300,20,0.62,0.58,0.238095238,0.119047619
43,300,30,0.61,0.51,0.288461538,0.153846154
44,300,40,0.66,0.55,0.428571429,0.204081633
45,300,50,0.77,0.47,0.690909091,0.163636364
46,300,60,0.94,0.64,0.9375,0.375
47,300,70,0.94,0.6,1,0.41509434
48,300,80,0.99,0.72,1,0.520833333
49,300,90,0.93,0.72,1,0.551020408
50,300,100,0.95,0.69,1,0.7
51,500,10,0.49,0.5,0.137254902,0.137254902
52,500,20,0.54,0.52,0.14893617,0.106382979
53,500,30,0.71,0.63,0.447368421,0.210526316
54,500,40,0.72,0.6,0.5,0.25
55,500,50,0.79,0.56,0.783333333,0.383333333
56,500,60,0.89,0.59,0.87755102,0.285714286
57,500,70,0.92,0.64,0.978723404,0.319148936
58,500,80,0.91,0.5,0.934782609,0.239130435
59,500,90,0.92,0.68,1,0.571428571
60,500,100,0.98,0.74,1,0.655737705
