"","d","n","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,10,0.56,0.57,0.162790697674419,0.162790697674419,0.140350877192982,0.12280701754386
"2",1,20,0.61,0.6,0.234042553191489,0.297872340425532,0.0566037735849057,0.132075471698113
"3",1,30,0.67,0.5,0.375,0.3,0.133333333333333,0.366666666666667
"4",1,40,0.84,0.66,0.745454545454545,0.454545454545455,0.0444444444444444,0.0888888888888889
"5",1,50,0.87,0.68,0.824561403508772,0.649122807017544,0.0697674418604651,0.27906976744186
"6",1,60,0.95,0.62,0.980769230769231,0.288461538461538,0.0833333333333333,0.0208333333333333
"7",1,70,0.93,0.68,0.979166666666667,0.395833333333333,0.115384615384615,0.0576923076923077
"8",1,80,0.87,0.6,0.976190476190476,0.857142857142857,0.206896551724138,0.586206896551724
"9",1,90,0.93,0.74,1,0.682926829268293,0.11864406779661,0.220338983050847
"10",1,100,0.95,0.75,1,0.755102040816326,0.0980392156862745,0.254901960784314
"11",10,10,0.64,0.56,0.131578947368421,0.0789473684210526,0.0483870967741935,0.145161290322581
"12",10,20,0.52,0.49,0.156862745098039,0.0784313725490196,0.102040816326531,0.0816326530612245
"13",10,30,0.79,0.55,0.64,0.16,0.06,0.06
"14",10,40,0.84,0.67,0.795918367346939,0.428571428571429,0.117647058823529,0.0980392156862745
"15",10,50,0.95,0.62,0.942307692307692,0.307692307692308,0.0416666666666667,0.0416666666666667
"16",10,60,0.92,0.7,0.94,0.6,0.1,0.2
"17",10,70,0.96,0.82,1,0.717391304347826,0.0740740740740741,0.0925925925925926
"18",10,80,0.99,0.79,1,0.66,0.02,0.08
"19",10,90,0.95,0.79,1,0.745454545454545,0.111111111111111,0.155555555555556
"20",10,100,0.93,0.73,1,0.9,0.116666666666667,0.383333333333333
"21",50,10,0.47,0.43,0.0740740740740741,0.0185185185185185,0.0652173913043478,0.0869565217391304
"22",50,20,0.53,0.53,0.222222222222222,0.240740740740741,0.108695652173913,0.130434782608696
"23",50,30,0.72,0.66,0.523809523809524,0.333333333333333,0.137931034482759,0.103448275862069
"24",50,40,0.84,0.63,0.780487804878049,0.219512195121951,0.11864406779661,0.0847457627118644
"25",50,50,0.91,0.62,0.86,0.28,0.04,0.04
"26",50,60,0.91,0.68,0.959183673469388,0.428571428571429,0.137254901960784,0.0784313725490196
"27",50,70,0.92,0.56,1,0.26,0.16,0.14
"28",50,80,0.96,0.72,1,0.51063829787234,0.0754716981132075,0.0943396226415094
"29",50,90,0.94,0.66,1,0.448979591836735,0.117647058823529,0.137254901960784
"30",50,100,0.98,0.76,1,0.64,0.04,0.12
"31",100,10,0.52,0.5,0.125,0.145833333333333,0.115384615384615,0.173076923076923
"32",100,20,0.55,0.5,0.0869565217391304,0.0652173913043478,0.0555555555555556,0.12962962962963
"33",100,30,0.74,0.6,0.431818181818182,0.159090909090909,0.0178571428571429,0.0535714285714286
"34",100,40,0.76,0.57,0.666666666666667,0.277777777777778,0.130434782608696,0.0869565217391304
"35",100,50,0.86,0.55,0.826923076923077,0.269230769230769,0.104166666666667,0.145833333333333
"36",100,60,0.95,0.7,0.977272727272727,0.431818181818182,0.0714285714285714,0.0892857142857143
"37",100,70,0.93,0.76,1,0.622641509433962,0.148936170212766,0.0851063829787234
"38",100,80,0.94,0.69,0.980769230769231,0.634615384615385,0.104166666666667,0.25
"39",100,90,0.94,0.71,1,0.52,0.12,0.1
"40",100,100,0.95,0.82,1,0.641025641025641,0.0819672131147541,0.0655737704918033
"41",300,10,0.47,0.55,0.0425531914893617,0.127659574468085,0.150943396226415,0.0754716981132075
"42",300,20,0.56,0.51,0.212765957446809,0.106382978723404,0.132075471698113,0.132075471698113
"43",300,30,0.69,0.63,0.292682926829268,0.219512195121951,0.0338983050847458,0.0847457627118644
"44",300,40,0.84,0.5,0.767857142857143,0.25,0.0681818181818182,0.181818181818182
"45",300,50,0.9,0.54,0.875,0.321428571428571,0.0681818181818182,0.181818181818182
"46",300,60,0.94,0.6,0.980769230769231,0.365384615384615,0.104166666666667,0.145833333333333
"47",300,70,0.94,0.59,0.983870967741935,0.419354838709677,0.131578947368421,0.131578947368421
"48",300,80,0.92,0.61,1,0.422222222222222,0.145454545454545,0.236363636363636
"49",300,90,0.91,0.63,1,0.428571428571429,0.204545454545455,0.113636363636364
"50",300,100,0.96,0.78,1,0.788461538461538,0.0833333333333333,0.229166666666667
"51",500,10,0.44,0.52,0.0566037735849057,0.188679245283019,0.127659574468085,0.106382978723404
"52",500,20,0.54,0.52,0.240740740740741,0.148148148148148,0.108695652173913,0.0434782608695652
"53",500,30,0.67,0.65,0.342105263157895,0.289473684210526,0.129032258064516,0.129032258064516
"54",500,40,0.7,0.62,0.529411764705882,0.274509803921569,0.122448979591837,0.0204081632653061
"55",500,50,0.83,0.51,0.897959183673469,0.224489795918367,0.235294117647059,0.215686274509804
"56",500,60,0.97,0.63,0.976744186046512,0.209302325581395,0.0350877192982456,0.0526315789473684
"57",500,70,0.93,0.6,0.977272727272727,0.295454545454545,0.107142857142857,0.160714285714286
"58",500,80,0.9,0.63,0.976190476190476,0.452380952380952,0.155172413793103,0.241379310344828
"59",500,90,0.95,0.71,1,0.607843137254902,0.102040816326531,0.183673469387755
"60",500,100,0.93,0.76,1,0.607843137254902,0.142857142857143,0.0816326530612245
