,d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST,FPR_AC,FPR_MST
3,1,30,0.67,0.5,0.375,0.3,0.133333333,0.366666667
4,1,40,0.84,0.66,0.745454545,0.454545455,0.044444444,0.088888889
5,1,50,0.87,0.68,0.824561404,0.649122807,0.069767442,0.279069767
6,1,60,0.95,0.62,0.980769231,0.288461538,0.083333333,0.020833333
7,1,70,0.93,0.68,0.979166667,0.395833333,0.115384615,0.057692308
8,1,80,0.87,0.6,0.976190476,0.857142857,0.206896552,0.586206897
9,1,90,0.93,0.74,1,0.682926829,0.118644068,0.220338983
10,1,100,0.95,0.75,1,0.755102041,0.098039216,0.254901961
13,10,30,0.79,0.55,0.64,0.16,0.06,0.06
14,10,40,0.84,0.67,0.795918367,0.428571429,0.117647059,0.098039216
15,10,50,0.95,0.62,0.942307692,0.307692308,0.041666667,0.041666667
16,10,60,0.92,0.7,0.94,0.6,0.1,0.2
17,10,70,0.96,0.82,1,0.717391304,0.074074074,0.092592593
18,10,80,0.99,0.79,1,0.66,0.02,0.08
19,10,90,0.95,0.79,1,0.745454545,0.111111111,0.155555556
20,10,100,0.93,0.73,1,0.9,0.116666667,0.383333333
23,50,30,0.72,0.66,0.523809524,0.333333333,0.137931034,0.103448276
24,50,40,0.84,0.63,0.780487805,0.219512195,0.118644068,0.084745763
25,50,50,0.91,0.62,0.86,0.28,0.04,0.04
26,50,60,0.91,0.68,0.959183673,0.428571429,0.137254902,0.078431373
27,50,70,0.92,0.56,1,0.26,0.16,0.14
28,50,80,0.96,0.72,1,0.510638298,0.075471698,0.094339623
29,50,90,0.94,0.66,1,0.448979592,0.117647059,0.137254902
30,50,100,0.98,0.76,1,0.64,0.04,0.12
33,100,30,0.74,0.6,0.431818182,0.159090909,0.017857143,0.053571429
34,100,40,0.76,0.57,0.666666667,0.277777778,0.130434783,0.086956522
35,100,50,0.86,0.55,0.826923077,0.269230769,0.104166667,0.145833333
36,100,60,0.95,0.7,0.977272727,0.431818182,0.071428571,0.089285714
37,100,70,0.93,0.76,1,0.622641509,0.14893617,0.085106383
38,100,80,0.94,0.69,0.980769231,0.634615385,0.104166667,0.25
39,100,90,0.94,0.71,1,0.52,0.12,0.1
40,100,100,0.95,0.82,1,0.641025641,0.081967213,0.06557377
43,300,30,0.69,0.63,0.292682927,0.219512195,0.033898305,0.084745763
44,300,40,0.84,0.5,0.767857143,0.25,0.068181818,0.181818182
45,300,50,0.9,0.54,0.875,0.321428571,0.068181818,0.181818182
46,300,60,0.94,0.6,0.980769231,0.365384615,0.104166667,0.145833333
47,300,70,0.94,0.59,0.983870968,0.419354839,0.131578947,0.131578947
48,300,80,0.92,0.61,1,0.422222222,0.145454545,0.236363636
49,300,90,0.91,0.63,1,0.428571429,0.204545455,0.113636364
50,300,100,0.96,0.78,1,0.788461538,0.083333333,0.229166667
53,500,30,0.67,0.65,0.342105263,0.289473684,0.129032258,0.129032258
54,500,40,0.7,0.62,0.529411765,0.274509804,0.12244898,0.020408163
55,500,50,0.83,0.51,0.897959184,0.224489796,0.235294118,0.215686275
56,500,60,0.97,0.63,0.976744186,0.209302326,0.035087719,0.052631579
57,500,70,0.93,0.6,0.977272727,0.295454545,0.107142857,0.160714286
58,500,80,0.9,0.63,0.976190476,0.452380952,0.155172414,0.24137931
59,500,90,0.95,0.71,1,0.607843137,0.102040816,0.183673469
60,500,100,0.93,0.76,1,0.607843137,0.142857143,0.081632653
