"","d","n","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST"
"1",1,10,0.56,0.57,1,0.982142857142857
"2",1,20,0.53,0.53,1,1
"3",1,30,0.65,0.62,0.983050847457627,0.559322033898305
"4",1,40,0.62,0.57,1,1
"5",1,50,0.69,0.63,1,0.479166666666667
"6",1,60,0.71,0.69,1,0.564516129032258
"7",1,70,0.81,0.63,1,0.982142857142857
"8",1,80,0.86,0.78,1,0.764705882352941
"9",1,90,0.89,0.77,1,0.62
"10",1,100,0.96,0.71,1,0.980392156862745
"11",10,10,0.46,0.46,1,1
"12",10,20,0.43,0.45,0.955555555555556,1
"13",10,30,0.43,0.43,0.953488372093023,0.953488372093023
"14",10,40,0.6,0.55,1,1
"15",10,50,0.64,0.53,0.980769230769231,1
"16",10,60,0.76,0.67,1,0.810344827586207
"17",10,70,0.78,0.67,1,0.981818181818182
"18",10,80,0.81,0.79,1,0.942307692307692
"19",10,90,0.91,0.72,1,0.803571428571429
"20",10,100,0.98,0.85,1,0.894736842105263
"21",50,10,0.47,0.47,1,1
"22",50,20,0.44,0.44,1,1
"23",50,30,0.53,0.54,1,1
"24",50,40,0.56,0.47,1,0.957446808510638
"25",50,50,0.55,0.5,1,0.941176470588235
"26",50,60,0.75,0.62,1,0.927272727272727
"27",50,70,0.74,0.62,1,0.980769230769231
"28",50,80,0.82,0.72,1,0.94
"29",50,90,0.91,0.77,1,0.947368421052632
"30",50,100,0.97,0.81,1,0.644444444444444
"31",100,10,0.49,0.49,1,1
"32",100,20,0.46,0.42,1,1
"33",100,30,0.59,0.56,0.982142857142857,0.928571428571429
"34",100,40,0.63,0.5,0.98,0.98
"35",100,50,0.61,0.56,1,0.891304347826087
"36",100,60,0.69,0.65,1,0.977272727272727
"37",100,70,0.75,0.67,1,0.962264150943396
"38",100,80,0.86,0.77,1,0.823529411764706
"39",100,90,0.83,0.69,1,0.680851063829787
"40",100,100,0.94,0.68,1,0.541666666666667
"41",300,10,0.54,0.54,1,1
"42",300,20,0.51,0.51,1,1
"43",300,30,0.56,0.55,1,1
"44",300,40,0.6,0.55,1,0.964285714285714
"45",300,50,0.6,0.53,1,0.882352941176471
"46",300,60,0.67,0.59,1,0.94
"47",300,70,0.73,0.64,1,0.897959183673469
"48",300,80,0.86,0.6,1,0.636363636363636
"49",300,90,0.83,0.69,1,0.931818181818182
"50",300,100,0.92,0.84,1,0.816326530612245
"51",500,10,0.47,0.49,0.673469387755102,1
"52",500,20,0.52,0.46,1,0.9375
"53",500,30,0.6,0.57,1,1
"54",500,40,0.52,0.47,0.978723404255319,0.957446808510638
"55",500,50,0.57,0.52,1,0.88
"56",500,60,0.81,0.63,0.982456140350877,0.894736842105263
"57",500,70,0.82,0.64,1,0.734375
"58",500,80,0.76,0.69,1,0.909090909090909
"59",500,90,0.86,0.67,1,0.745762711864407
"60",500,100,0.98,0.82,1,0.784313725490196
