,d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST
1,1,15,0.615,0.557,0.293634497,0.207392197
2,1,30,0.864,0.625,0.8,0.286021505
3,1,100,0.959,0.696,1,0.386363636
4,10,15,0.634,0.513,0.429357798,0.19266055
5,10,30,0.903,0.613,0.925252525,0.331313131
6,10,100,0.932,0.902,1,0.881873727
7,50,15,0.599,0.53,0.389002037,0.213849287
8,50,30,0.885,0.58,0.923224568,0.289827255
9,50,100,0.957,0.877,1,0.822810591
10,100,15,0.626,0.502,0.363083164,0.148073022
11,100,30,0.915,0.57,0.912423625,0.224032587
12,100,100,0.954,0.895,1,0.960552268
13,500,15,0.563,0.511,0.224409449,0.145669291
14,500,30,0.857,0.545,0.814141414,0.177777778
15,500,100,0.944,0.847,1,0.966067864
