,d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST
1,1,10,0.52,0.49,0.137254902,0.117647059
2,1,20,0.49,0.54,0.183673469,0.285714286
3,1,30,0.54,0.57,0.263157895,0.368421053
4,1,40,0.49,0.51,0.12962963,0.240740741
5,1,50,0.56,0.61,0.327586207,0.534482759
6,1,60,0.59,0.51,0.24,0.12
7,1,70,0.68,0.6,0.442307692,0.269230769
8,1,80,0.74,0.62,0.692307692,0.75
9,1,90,0.82,0.68,0.68,0.52
10,1,100,0.83,0.68,0.76744186,0.558139535
11,10,10,0.54,0.52,0.254237288,0.271186441
12,10,20,0.83,0.75,0.722222222,0.574074074
13,10,30,0.88,0.83,0.787234043,0.70212766
14,10,40,0.9,0.93,1,1
15,10,50,0.95,0.92,1,0.977272727
16,10,60,0.96,0.93,1,1
17,10,70,0.95,0.95,1,1
18,10,80,0.94,0.92,1,1
19,10,90,0.94,0.93,1,1
20,10,100,0.96,0.8,1,1
21,50,10,0.91,0.86,0.933333333,0.844444444
22,50,20,0.98,0.93,1,1
23,50,30,0.91,0.89,1,1
24,50,40,0.96,0.95,1,1
25,50,50,0.93,0.88,1,1
26,50,60,0.96,0.95,1,1
27,50,70,0.96,0.91,1,1
28,50,80,0.93,0.95,1,1
29,50,90,0.97,0.95,1,1
30,50,100,0.96,0.95,1,1
31,100,10,0.97,0.92,1,1
32,100,20,0.96,0.98,1,1
33,100,30,0.94,0.87,1,1
34,100,40,0.96,0.94,1,1
35,100,50,0.97,0.96,1,1
36,100,60,0.96,0.98,1,1
37,100,70,0.96,0.89,1,1
38,100,80,0.95,0.88,1,1
39,100,90,0.94,0.96,1,1
40,100,100,0.94,0.96,1,1
41,300,10,0.93,0.92,1,1
42,300,20,0.9,0.96,1,1
43,300,30,0.96,0.94,1,1
44,300,40,0.94,0.95,1,1
45,300,50,0.99,0.92,1,1
46,300,60,0.93,0.94,1,1
47,300,70,0.94,0.92,1,1
48,300,80,0.94,0.87,1,1
49,300,90,0.96,0.98,1,1
50,300,100,0.94,0.9,1,1
51,500,10,0.96,0.93,1,1
52,500,20,0.98,0.96,1,1
53,500,30,0.95,0.96,1,1
54,500,40,0.91,0.97,1,1
55,500,50,0.9,0.94,1,1
56,500,60,0.93,0.95,1,1
57,500,70,0.98,0.94,1,1
58,500,80,0.98,0.91,1,1
59,500,90,0.96,0.9,1,1
60,500,100,0.96,0.96,1,1
