"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.81,0.68,0.46,0.714285714285714,0.571428571428571,0.0892857142857143
"2",1,60,0.91,0.68,0.56,0.979591836734694,0.836734693877551,0.224489795918367
"3",1,200,0.96,0.75,0.77,1,0.678571428571429,0.607142857142857
"4",10,30,0.73,0.62,0.58,0.428571428571429,0.19047619047619,0.0714285714285714
"5",10,60,0.8,0.58,0.55,0.666666666666667,0.1875,0.145833333333333
"6",10,200,0.89,0.73,0.72,1,0.558139534883721,0.418604651162791
"7",50,30,0.46,0.45,0.36,0.174603174603175,0.206349206349206,0.0317460317460317
"8",50,60,0.73,0.57,0.52,0.538461538461538,0.365384615384615,0.115384615384615
"9",50,200,0.93,0.61,0.63,0.976744186046512,0.255813953488372,0.162790697674419
"10",100,30,0.56,0.54,0.51,0.215686274509804,0.196078431372549,0.0980392156862745
"11",100,60,0.58,0.43,0.45,0.280701754385965,0.105263157894737,0.0350877192982456
"12",100,200,0.94,0.56,0.58,0.962264150943396,0.283018867924528,0.226415094339623
"13",500,30,0.57,0.56,0.56,0.136363636363636,0.340909090909091,0.0681818181818182
"14",500,60,0.56,0.58,0.61,0.102564102564103,0.153846153846154,0.0769230769230769
"15",500,200,0.81,0.57,0.56,0.581395348837209,0.186046511627907,0.0465116279069767
