"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR","FPR_AC","FPR_MST","FPR_R"
"1",1,30,0.77,0.69,0.66,0.463414634146341,0.292682926829268,0.195121951219512,0.0169491525423729,0.0338983050847458,0.0169491525423729
"2",1,40,0.87,0.46,0.58,0.793103448275862,0.0689655172413793,0.344827586206897,0.0238095238095238,0,0.0952380952380952
"3",1,50,0.89,0.52,0.56,0.830188679245283,0.113207547169811,0.245283018867925,0.0425531914893617,0.0212765957446809,0.0851063829787234
"4",1,60,0.99,0.8,0.57,0.98,0.68,0.22,0,0.08,0.08
"5",1,70,0.95,0.73,0.58,0.959183673469388,0.489795918367347,0.244897959183673,0.0588235294117647,0.0392156862745098,0.0980392156862745
"6",1,80,0.96,0.8,0.63,0.962962962962963,0.833333333333333,0.425925925925926,0.0434782608695652,0.239130434782609,0.130434782608696
"7",1,90,0.93,0.58,0.63,1,0.98,0.36,0.14,0.82,0.1
"8",1,100,0.98,0.75,0.66,1,0.72,0.42,0.04,0.22,0.1
"9",5,30,0.79,0.59,0.56,0.62962962962963,0.314814814814815,0.222222222222222,0.0217391304347826,0.0869565217391304,0.0434782608695652
"10",5,40,0.91,0.73,0.72,0.88,0.52,0.46,0.06,0.06,0.02
"11",5,50,0.95,0.64,0.73,0.975609756097561,0.268292682926829,0.414634146341463,0.0677966101694915,0.101694915254237,0.0508474576271186
"12",5,60,0.94,0.72,0.67,0.978723404255319,0.468085106382979,0.340425531914894,0.0943396226415094,0.0566037735849057,0.0377358490566038
"13",5,70,0.97,0.68,0.65,1,0.543859649122807,0.43859649122807,0.0697674418604651,0.13953488372093,0.0697674418604651
"14",5,80,0.99,0.69,0.73,1,0.471698113207547,0.528301886792453,0.0212765957446809,0.0638297872340425,0.0425531914893617
"15",5,90,0.98,0.83,0.81,1,0.842105263157895,0.684210526315789,0.0465116279069767,0.186046511627907,0.0232558139534884
"16",5,100,0.99,0.76,0.8,1,0.520833333333333,0.583333333333333,0.0192307692307692,0.0192307692307692,0
"17",10,30,0.87,0.6,0.66,0.75,0.113636363636364,0.25,0.0357142857142857,0.0178571428571429,0.0178571428571429
"18",10,40,0.92,0.55,0.62,0.936170212765957,0.106382978723404,0.191489361702128,0.0943396226415094,0.0566037735849057,0
