"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR","FPR_AC","FPR_MST","FPR_R"
"1",1,30,0.78,0.56,0.47,0.627118644067797,0.271186440677966,0.101694915254237,0,0.024390243902439,0
"2",1,40,0.85,0.57,0.56,0.725490196078431,0.156862745098039,0.196078431372549,0.0204081632653061,0,0.0612244897959184
"3",1,50,0.92,0.62,0.67,0.851063829787234,0.191489361702128,0.361702127659574,0.0188679245283019,0,0.0566037735849057
"4",1,60,0.95,0.68,0.58,0.962264150943396,0.509433962264151,0.283018867924528,0.0638297872340425,0.127659574468085,0.0851063829787234
"5",1,70,0.97,0.65,0.57,0.945454545454545,0.454545454545455,0.309090909090909,0,0.111111111111111,0.111111111111111
"6",1,80,0.98,0.78,0.63,0.983333333333333,0.866666666666667,0.383333333333333,0.025,0.35,0
"7",1,90,0.94,0.67,0.63,1,0.964912280701754,0.350877192982456,0.13953488372093,0.720930232558139,0
"8",1,100,0.98,0.73,0.58,1,0.645833333333333,0.270833333333333,0.0384615384615385,0.192307692307692,0.134615384615385
"9",5,30,0.8,0.61,0.56,0.641509433962264,0.30188679245283,0.188679245283019,0.0212765957446809,0.0425531914893617,0.0212765957446809
"10",5,40,0.86,0.69,0.62,0.82,0.48,0.26,0.1,0.1,0.02
"11",5,50,0.95,0.61,0.75,0.916666666666667,0.270833333333333,0.479166666666667,0.0192307692307692,0.0769230769230769,0
"12",5,60,0.93,0.73,0.68,0.927272727272727,0.545454545454545,0.436363636363636,0.0666666666666667,0.0444444444444444,0.0222222222222222
"13",5,70,0.98,0.76,0.69,1,0.666666666666667,0.470588235294118,0.0408163265306122,0.142857142857143,0.0816326530612245
"14",5,80,0.98,0.77,0.8,1,0.568627450980392,0.607843137254902,0.0408163265306122,0.0204081632653061,0
"15",5,90,0.97,0.88,0.82,1,0.884615384615385,0.673076923076923,0.0625,0.125,0.0208333333333333
"16",5,100,0.98,0.79,0.77,1,0.617021276595745,0.638297872340426,0.0377358490566038,0.0566037735849057,0.113207547169811
"17",10,30,0.82,0.64,0.63,0.711111111111111,0.266666666666667,0.244444444444444,0.0909090909090909,0.0545454545454545,0.0545454545454545
"18",10,40,0.84,0.48,0.6,0.867924528301887,0.169811320754717,0.283018867924528,0.191489361702128,0.170212765957447,0.0425531914893617
"19",10,50,0.91,0.68,0.63,0.943396226415094,0.566037735849057,0.377358490566038,0.127659574468085,0.191489361702128,0.0851063829787234
"20",10,60,0.99,0.67,0.68,1,0.340909090909091,0.386363636363636,0.0178571428571429,0.0714285714285714,0.0892857142857143
"21",10,70,0.96,0.75,0.74,0.959183673469388,0.63265306122449,0.551020408163265,0.0392156862745098,0.137254901960784,0.0784313725490196
"22",10,80,0.97,0.74,0.7,0.981132075471698,0.528301886792453,0.452830188679245,0.0425531914893617,0.0212765957446809,0.0212765957446809
"23",10,90,0.96,0.8,0.75,1,0.703703703703704,0.592592592592593,0.0869565217391304,0.0869565217391304,0.0652173913043478
"24",10,100,1,0.84,0.82,1,0.744186046511628,0.627906976744186,0,0.087719298245614,0.0350877192982456
"25",50,30,0.86,0.59,0.63,0.73469387755102,0.285714285714286,0.26530612244898,0.0196078431372549,0.117647058823529,0.0196078431372549
"26",50,40,0.85,0.67,0.65,0.767441860465116,0.372093023255814,0.186046511627907,0.087719298245614,0.105263157894737,0
"27",50,50,0.93,0.8,0.75,0.930232558139535,0.697674418604651,0.465116279069767,0.0701754385964912,0.12280701754386,0.0350877192982456
"28",50,60,0.98,0.74,0.7,1,0.541666666666667,0.395833333333333,0.0384615384615385,0.0769230769230769,0.0192307692307692
"29",50,70,0.96,0.71,0.67,1,0.56140350877193,0.491228070175439,0.0930232558139535,0.0930232558139535,0.0930232558139535
"30",50,80,0.98,0.75,0.71,1,0.565217391304348,0.41304347826087,0.037037037037037,0.0925925925925926,0.037037037037037
"31",50,90,0.98,0.74,0.74,1,0.537037037037037,0.555555555555556,0.0434782608695652,0.0217391304347826,0.0434782608695652
"32",50,100,0.99,0.77,0.75,1,0.641509433962264,0.547169811320755,0.0212765957446809,0.0851063829787234,0.0212765957446809
"33",100,30,0.84,0.6,0.65,0.627906976744186,0.186046511627907,0.255813953488372,0,0.087719298245614,0.0526315789473684
"34",100,40,0.92,0.71,0.61,0.875,0.395833333333333,0.208333333333333,0.0384615384615385,0,0.0192307692307692
"35",100,50,0.93,0.54,0.45,0.901639344262295,0.295081967213115,0.131147540983607,0.0256410256410256,0.0769230769230769,0.0512820512820513
"36",100,60,0.96,0.65,0.65,0.962264150943396,0.339622641509434,0.358490566037736,0.0425531914893617,0,0.0212765957446809
"37",100,70,0.95,0.49,0.59,0.982456140350877,0.245614035087719,0.298245614035088,0.0930232558139535,0.186046511627907,0.0232558139534884
"38",100,80,0.96,0.54,0.63,1,0.240740740740741,0.333333333333333,0.0869565217391304,0.108695652173913,0.0217391304347826
"39",100,90,0.95,0.7,0.6,1,0.56140350877193,0.333333333333333,0.116279069767442,0.116279069767442,0.0465116279069767
"40",100,100,0.99,0.78,0.75,1,0.645833333333333,0.520833333333333,0.0192307692307692,0.0961538461538462,0.0384615384615385
"41",300,30,0.8,0.65,0.58,0.590909090909091,0.25,0.0454545454545455,0.0357142857142857,0.0357142857142857,0
"42",300,40,0.79,0.55,0.52,0.62962962962963,0.222222222222222,0.166666666666667,0.0217391304347826,0.0652173913043478,0.0652173913043478
