,, ,Accuracy, , ,Sensitivity, 
d,n,GSR CG,GSR MST,GraphCounting,GSR CG,GSR MST,GraphCounting
1,30,0.89,0.66,0.55,0.86,0.49,0.20
,60,0.91,0.69,0.51,0.98,0.94,0.19
,200,0.97,0.76,0.75,1.00,0.77,0.58
10,30,0.63,0.55,0.51,0.29,0.23,0.06
,60,0.89,0.58,0.56,0.82,0.20,0.20
,200,0.94,0.7,0.71,0.98,0.48,0.46
50,30,0.59,0.57,0.51,0.20,0.20,0.04
,60,0.69,0.62,0.55,0.51,0.33,0.07
,200,0.96,0.62,0.66,1.00,0.36,0.28
100,30,0.48,0.45,0.47,0.21,0.15,0.09
,60,0.59,0.45,0.47,0.31,0.06,0.07
,200,0.9,0.56,0.52,0.92,0.21,0.10
500,30,0.5,0.49,0.49,0.19,0.26,0.06
,60,0.51,0.49,0.45,0.13,0.10,0.00
,200,0.67,0.52,0.47,0.48,0.21,0.02
