"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.68,0.71,0.46,0.442307692307692,0.557692307692308,0.0192307692307692
"2",1,60,0.81,0.65,0.52,0.777777777777778,0.933333333333333,0.0222222222222222
"3",1,200,0.97,0.85,0.5,1,0.824561403508772,0.175438596491228
"4",10,30,0.93,0.95,0.6,1,1,0.116279069767442
"5",10,60,0.94,0.88,0.66,1,1,0.340425531914894
"6",10,200,0.96,0.95,0.94,1,1,0.967213114754098
"7",50,30,0.96,0.96,0.39,1,1,0
"8",50,60,0.97,0.92,0.47,1,1,0
"9",50,200,0.95,0.92,0.97,1,1,0.982456140350877
"10",100,30,0.89,0.92,0.56,1,1,0
"11",100,60,0.97,0.99,0.52,1,1,0
"12",100,200,0.95,0.91,0.96,1,1,1
"13",500,30,0.92,0.88,0.44,1,1,0
"14",500,60,0.92,0.95,0.57,1,1,0
"15",500,200,0.96,0.94,0.93,1,1,0.912280701754386
