"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.65,0.55,0.54,0.392156862745098,0.117647058823529,0.137254901960784
"2",1,40,0.74,0.65,0.52,0.62,0.78,0.18
"3",1,50,0.77,0.62,0.55,0.62,0.26,0.18
"4",1,60,0.82,0.53,0.46,0.72,0.08,0.06
"5",1,70,0.89,0.73,0.55,0.891304347826087,0.934782608695652,0.130434782608696
"6",1,80,0.87,0.82,0.59,0.808510638297872,0.787234042553192,0.170212765957447
"7",1,90,0.92,0.9,0.59,0.951219512195122,0.853658536585366,0.121951219512195
"8",1,100,0.94,0.66,0.6,0.9375,0.979166666666667,0.166666666666667
"9",10,30,0.96,0.93,0.61,1,0.973684210526316,0.0526315789473684
"10",10,40,0.99,0.95,0.44,1,1,0.0833333333333333
"11",10,50,0.92,0.83,0.56,1,1,0.207547169811321
"12",10,60,0.97,0.97,0.66,1,1,0.36
"13",10,70,0.98,0.96,0.73,1,1,0.56140350877193
"14",10,80,0.95,0.95,0.74,1,1,0.461538461538462
"15",10,90,0.97,0.97,0.77,1,1,0.555555555555556
"16",10,100,0.95,0.82,0.8,1,1,0.62962962962963
"17",10,30,0.9,0.86,0.49,1,1,0.0392156862745098
"18",10,40,0.93,0.93,0.53,1,1,0.117647058823529
"19",50,50,0.95,0.97,0.44,1,1,0
"20",50,60,0.97,0.95,0.4,1,1,0
"21",50,70,0.94,0.89,0.52,1,1,0.0204081632653061
"22",50,80,0.95,0.94,0.45,1,1,0
"23",50,90,0.98,0.94,0.56,1,1,0
"24",50,100,0.96,0.93,0.51,1,1,0.0612244897959184
"25",100,30,0.98,0.96,0.4,1,1,0
"26",100,40,0.95,0.92,0.46,1,1,0
"27",100,50,0.95,0.95,0.42,1,1,0
"28",100,60,0.94,0.98,0.53,1,1,0
"29",100,70,0.9,0.9,0.57,1,1,0
"30",100,80,0.98,0.97,0.47,1,1,0
"31",100,90,0.98,0.98,0.48,1,1,0
"32",100,100,0.96,0.98,0.49,1,1,0
"33",300,30,0.94,0.9,0.44,1,1,0
"34",300,40,0.95,0.91,0.43,1,1,0
"35",300,50,0.95,0.95,0.41,1,1,0
"36",300,60,0.95,0.98,0.55,1,1,0
"37",300,70,0.97,0.95,0.41,1,1,0
"38",300,80,0.97,0.96,0.46,1,1,0
"39",300,90,0.95,0.88,0.52,1,1,0
"40",300,100,0.95,0.94,0.43,1,1,0
"41",500,30,0.93,0.87,0.48,1,1,0
"42",500,40,0.92,0.93,0.39,1,1,0
"43",500,50,0.97,0.95,0.41,1,1,0
"44",500,60,0.97,0.94,0.47,1,1,0
"45",500,70,0.91,0.95,0.52,1,1,0
"46",500,80,0.99,0.98,0.44,1,1,0
"47",500,90,0.93,0.91,0.53,1,1,0
"48",500,100,0.95,0.91,0.45,1,1,0
