"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.58,0.62,0.5,0.25,0.384615384615385,0.0961538461538462
"2",1,60,0.72,0.61,0.55,0.577777777777778,0.844444444444444,0.0888888888888889
"3",1,200,0.93,0.76,0.48,0.929824561403509,0.666666666666667,0.140350877192982
"4",10,30,0.93,0.94,0.59,1,0.976744186046512,0.0930232558139535
"5",10,60,0.94,0.88,0.61,1,1,0.234042553191489
"6",10,200,0.96,0.95,0.86,1,1,0.836065573770492
"7",50,30,0.96,0.96,0.39,1,1,0
"8",50,60,0.97,0.92,0.47,1,1,0
"9",50,200,0.95,0.92,0.95,1,1,0.947368421052632
"10",100,30,0.89,0.92,0.56,1,1,0
"11",100,60,0.97,0.99,0.52,1,1,0
"12",100,200,0.95,0.91,0.95,1,1,0.978723404255319
"13",500,30,0.92,0.88,0.44,1,1,0
"14",500,60,0.92,0.95,0.57,1,1,0
"15",500,200,0.96,0.94,0.87,1,1,0.807017543859649
