"","d","n","AccuracyAC","AccuracyMST","AccuracyR","SensitivityAC","SensitivityMST","SensitivityR"
"1",1,30,0.72,0.6,0.54,0.48936170212766,0.191489361702128,0.0851063829787234
"2",1,40,0.82,0.75,0.57,0.686274509803922,0.92156862745098,0.274509803921569
"3",1,50,0.8,0.68,0.6,0.613636363636364,0.272727272727273,0.136363636363636
"4",1,60,0.91,0.82,0.54,0.916666666666667,0.625,0.0833333333333333
"5",1,70,0.82,0.7,0.53,0.725490196078431,0.901960784313726,0.137254901960784
"6",1,80,0.88,0.87,0.53,0.890909090909091,0.890909090909091,0.2
"7",1,90,0.94,0.89,0.62,0.952380952380952,0.833333333333333,0.19047619047619
"8",1,100,0.91,0.74,0.52,0.982456140350877,0.964912280701754,0.175438596491228
"9",10,30,0.97,0.98,0.49,1,1,0.0892857142857143
"10",10,40,0.96,0.96,0.57,1,1,0.125
"11",10,50,0.98,0.87,0.65,1,1,0.227272727272727
"12",10,60,0.97,0.99,0.72,1,1,0.509433962264151
"13",10,70,0.97,0.93,0.71,1,1,0.46
"14",10,80,0.93,0.93,0.75,1,1,0.627118644067797
"15",10,90,0.98,0.99,0.86,1,1,0.740740740740741
"16",10,100,0.92,0.88,0.85,1,1,0.793103448275862
"17",50,30,0.9,0.93,0.5,1,1,0
"18",50,40,0.97,0.88,0.45,1,1,0
"19",50,50,0.94,0.89,0.45,1,1,0
"20",50,60,0.92,0.96,0.56,1,1,0
"21",50,70,0.91,0.91,0.55,1,1,0
"22",50,80,0.95,0.97,0.44,1,1,0
"23",50,90,0.94,0.94,0.45,1,1,0.0188679245283019
"24",50,100,0.98,0.95,0.46,1,1,0
"25",100,30,0.99,0.96,0.46,1,1,0
"26",100,40,0.98,0.9,0.48,1,1,0
"27",100,50,0.97,1,0.46,1,1,0
"28",100,60,0.91,0.97,0.44,1,1,0
"29",100,70,0.99,0.91,0.54,1,1,0
"30",100,80,0.96,0.95,0.5,1,1,0
"31",100,90,0.97,0.96,0.45,1,1,0
"32",100,100,0.95,0.94,0.53,1,1,0
"33",300,30,0.94,0.83,0.52,1,1,0
"34",300,40,0.95,0.89,0.51,1,1,0
"35",300,50,0.95,0.94,0.56,1,1,0
"36",300,60,0.94,0.91,0.6,1,1,0
"37",300,70,0.97,0.93,0.53,1,1,0
"38",300,80,0.97,0.92,0.44,1,1,0
"39",300,90,0.95,0.89,0.44,1,1,0
"40",300,100,0.95,0.91,0.5,1,1,0
"41",500,30,0.93,0.96,0.49,1,1,0
"42",500,40,0.95,0.89,0.47,1,1,0
"43",500,50,0.91,0.88,0.49,1,1,0
"44",500,60,0.96,0.99,0.45,1,1,0
"45",500,70,0.94,0.95,0.44,1,1,0
"46",500,80,0.94,0.93,0.46,1,1,0
"47",500,90,0.95,0.93,0.48,1,1,0
"48",500,100,0.94,0.91,0.59,1,1,0
